updatedDate,2017/05/25,,,,,,,,
milestoneID,milestoneDesc,milestoneTargetCompletionDate,milestoneStatus,milestoneStatusDesc,commonBaselineArea,dcoiArea,,,
1,"Identify and review relevant policies that impact processes, roles, and responsibilities within DHS planning, programming, and budget (PPB) phases",2015/11/06,Complete,Initial list of applicable policies identified and submitted to DHS OCIO Enterprise Business Management Office (EBMO) management for review and approval. ,budgetFormulation,nonDataCenter,,,
2,Document and model current processes and supporting requirements for PPB phases,2015/11/06,Complete,Current process models for PPB phases submitted to EBMO management for review and approval. ,budgetFormulation,nonDataCenter,,,
3,Identify gaps and opportunities in current processes to address OMB Common Baseline requirements,2015/11/20,Complete,"A list of gaps/opportunities have been drafted, reviewed, and approved for Planning, Budgeting, and Programming. Review conducted by the Offices of the Chief Financial Officer (CFO) and the Office of Policy (PLCY).",budgetFormulation,nonDataCenter,,,
4,Draft content updates to ensure relevant policies are compliant with OMB Common Baseline requirements,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership.,budgetFormulation,nonDataCenter,,,
5,Collaborate with appropriate stakeholders to develop process models and supporting list of requirements for the target PPB phases,2015/12/11,Complete,Target process for Planning phase has been developed.  Proposed implementation plan includes high level list of requirements needed to implement target approach.,budgetFormulation,nonDataCenter,,,
6,Ensure content updates to policies are approved by all relevant parties and submit updated/approved policies to OMB,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership. ,budgetFormulation,nonDataCenter,,,
7,The CFO and CIO will document and implement the updated and agreed upon processes for PPB phases to ensure CIO has visibility into IT resource plans and decisions ,2016/03/31,Complete,Current process models for PPB phases submitted to EBMO management for review and approval.,budgetFormulation,nonDataCenter,, ,
8,"Identify and review relevant policies that impact processes, roles, and responsibilities within each PPB phase",2015/11/06,Complete,Initial list of applicable policies identified and submitted to EBMO management for review and approval.,budgetFormulation,nonDataCenter,,,
9,Document and model current processes and supporting requirements for the PPB phases,2015/11/06,Complete,Current process models for PPB phases submitted to EBMO management for review and approval. ,budgetFormulation,nonDataCenter,,,
10,Identify gaps and opportunities in current processes to address OMB Common Baseline requirements ,2015/11/20,Complete,"A list of the gaps/opportunities have been drafted, reviewed, and approved for Planning, Budgeting, and Programming. Review conducted by the offices of the CFO and Policy.",budgetFormulation,nonDataCenter,,,
11,Draft content updates to ensure relevant policies are compliant with OMB Common Baseline requirements,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership. ,budgetFormulation,nonDataCenter,,,
12,Collaborate with appropriate stakeholders to develop process models and supporting list of requirements for the target PPB phases,2015/12/11,Complete,"Target process models have been developed and approved for Planning, Programming and Budget phases by the offices of the CFO and Policy. ",budgetFormulation,nonDataCenter,,,
13,Ensure content updates to policies are approved by all relevant parties and submit updated/approved policies to OMB,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership. ,budgetFormulation,nonDataCenter,,,
14,Document and update the DHS IT portfolio management processes to align with the updated PPB phases to assess the effective use of IT-related resources,2016/02/14,Complete,The DHS IT Portfolio Management Concept of Operations (CONOPS) and the Process flow have been updated to align with the updated PPB phases to assess the effective use of IT-related resources. ,budgetFormulation,nonDataCenter,,,
15,Document and implement the updated and agreed upon processes for PPB phases to ensure CIO has a role in pre-budget submission for programs that include IT and overall IT portfolio,2016/03/31,Complete,Established a number of processes to ensure the CIO has insight and collaboration into the planning process of the Department’s budget submission.  ,budgetFormulation,nonDataCenter,,,
16,"Identify and review relevant policies that impact processes, roles, and responsibilities within each PPB phase ",2015/11/06,Complete,Initial list of applicable policies identified and submitted to EBMO management for review and approval.,budgetFormulation,nonDataCenter,,,
17,Document and model current processes and supporting requirements for the PPB phases,2015/11/06,Complete,Current process models for PPB phases submitted to EBMO management for review and approval.,budgetFormulation,nonDataCenter,,,
18,Identify gaps and opportunities in current processes to address OMB Common Baseline requirements ,2015/11/20,Complete,"A list of gaps and opportunities have been drafted, reviewed, and approved for Planning, Budgeting, and Programming. Review conducted by OCFO and the Office of Policy.",budgetFormulation,nonDataCenter,,,
19,Draft content updates to ensure relevant policies are compliant with OMB Common Baseline requirements,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership.,budgetFormulation,nonDataCenter,,,
20,Collaborate with appropriate stakeholders to develop process models and supporting list of requirements for the target PPB phases,2015/12/11,Complete,"Target process models have been developed and approved for Planning, Programming and Budget phases by the OCFO and the Office of Policy. ",budgetFormulation,nonDataCenter,,,
21,Ensure content updates to policies are approved by all relevant parties and submit updated policies to OMB,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership. ,budgetFormulation,nonDataCenter,,,
22,"Program Accountability and Risk Management (PARM), the Office of the Chief Financial Officer (OCFO), Office of the Chief Procurement Officer (OCPO), and OCIO will formalize the endorsement or approval process to incorporate CIO review, assessment, and acknowledgement of appropriate artifacts to include incremental development supporting the acquisition of Level 1 and Level 2 and special interest IT investments in the Acquisition Lifecycle Framework (ALF) ",2015/12/04,Complete,"CIO approves Level 1, 2, and special interest IT Investments through the Enterprise Architecture Board (EAB) process. Component CIO must approve and sign off on these requests Acquisition Directive 102-01-001 states that “all Level 1, 2, and 3 IT programs shall complete an EAB prior to review by the Acquisition Review Board (ARB).” Systems Engineering Lifecycle (SELC) Instruction 102-01-003 indicates that programs should use the most appropriate development methodology.",budgetFormulation,nonDataCenter,,,
23,"PARM will update language within Directive 102 as necessary to fully align with FITARA OMB Common Baseline, CIO responsibilities, and incorporate the requirements for incremental development",2015/12/30,Complete,Management Directive 102 includes the CIO responsibilities as outlined in FITARA. Evidence of DHS and Component CIO approval of investments prior to ARBs. ,budgetFormulation,nonDataCenter,,,
